,SENARAI POKOK TEDUHAN DI PERUMAHAN AWAM DAN PERUMAHAN RAKYAT  WILAYAH PERSEKUTUAN KUALA LUMPUR,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Kawasan Perumahan Awam,ID Pokok,Jenis,Nama Tempatan,Nama Saintifik,Family,Tinggi,Lebar Silara,Saiz Ukur Lilit,Tarikh Tanam,Tarikh Inventori
Perumahan Awam Putra Ria,APR0035,Pokok Teduhan,Hujan hujan,Albizia saman,Fabaceae,10,6.95,1.1000000000000001,2000 - 2010,20170915,,
Perumahan Awam Putra Ria,APR0036,Pokok Teduhan,Hujan hujan,Albizia saman,Fabaceae,10,6.9,1,2000 - 2010,20170915,,
Perumahan Awam Putra Ria,APR0037,Pokok Teduhan,Hujan hujan,Albizia saman,Fabaceae,10,6.1550000000000002,1.1000000000000001,2000 - 2010,20170915,,
Perumahan Awam Putra Ria,APR0038,Pokok Teduhan,Hujan hujan,Albizia saman,Fabaceae,10,7.96,1,2000 - 2010,20170915,,
Perumahan Awam Putra Ria,APR0039,Pokok Teduhan,Hujan hujan,Albizia saman,Fabaceae,10,6.95,1,2000 - 2010,20170915,,
Perumahan Awam Putra Ria,ASK0003,Pokok Teduhan,Asam jawa,Tamarindus indica,Fabaceae,7.3,7.9429999999999996,0.68,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0005,Pokok Teduhan,Annona,Annona squamosa,Annonaceae,5.3,4.9249999999999998,0.35,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0006,Pokok Teduhan,Annona,Annona squamosa,Annonaceae,5.2,4.3940000000000001,0.37,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0007,Pokok Teduhan,Annona,Annona squamosa,Annonaceae,5.5,4.9359999999999999,0.4,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0008,Pokok Teduhan,Annona,Annona squamosa,Annonaceae,5,4.0949999999999998,0.4,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0009,Pokok Teduhan,Annona,Annona squamosa,Annonaceae,5.2,3.0950000000000002,0.32,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0010,Pokok Teduhan,Tembusu,Fragrea fragrans,Loganiaceae,6.3,5.3250000000000002,0.5,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0011,Pokok Teduhan,Jambu laut,Syzygium grande,Myrtaceae,16.600000000000001,10.48,1.5,1990 - 1999,20170823,,
Perumahan Awam Putra Ria,ASK0012,Pokok Teduhan,Bunga tanjung,Mimosops elengi,Sapotaceae,5.9,4.306,0.45,2000 - 2010,20170823,,
Perumahan Awam Putra Ria,ASK0013,Pokok Teduhan,Kapur,Dryobalanops aromatica,Dipterocarpaceae,13.7,9.8160000000000007,1,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0014,Pokok Teduhan,Rambutan,Nephelium lappaceum,Sapindaceae,6.6,8.2899999999999991,1,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0015,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,4.3,4.694,0.4,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0016,Pokok Teduhan,Red stim fiq,Ficus variegata,Moraceae,8.3000000000000007,6.9580000000000002,0.75,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0017,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.2,4.9050000000000002,0.4,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0018,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.5,5.04,0.47,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0019,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.3,5.35,0.55000000000000004,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0020,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.3,4.9249999999999998,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0021,Pokok Teduhan,Rambutan,Nephelium lappaceum,Sapindaceae,7.3,6.9109999999999996,0.75,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0022,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.5,6.91,0.7,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0023,Pokok Teduhan,Saga,Adenanthera pavonina,Fabaceae,8.3000000000000007,6.915,0.75,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0024,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,4.9000000000000004,4.0149999999999997,0.43,2000 - 2010,20170823
