NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,BANTUAN,NAMABLOK,KEGUNAAN,TAHUN_BINA
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,MERANTI,P & P,1987
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,KOPERASI,Pentadbiran,2007
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,BLOK TEMAK (MPV),P & P,1987
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,BELIAN,P & P,2003
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,BENGKEL PERTANIAN,Bengkel,2003
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,BENGKEL MPV,Bengkel,2003
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,BENGKEL KH PKBP,Bengkel,2008
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,KUARTERS GURU,Kediaman,1996
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,KEMUNING,P & P,1967
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,MERBAU,P & P,1985
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,SENTANG,P & P,1993
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,SEPETIR,P & P,1987
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,STOR ASRAMA,Pentadbiran,2006
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,KERUING,Pentadbiran,2003
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,MAKMAL KOMPUTER,Makmal Komputer,2005
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,KANTIN,Kantin,1967
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,JATI,P & P,1967
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,DEWAN MAKAN ASRAMA,Dewan,1993
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,DEWAN BESTARI,Dewan,2001
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,DAMAR,P & P,1997
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,CENGAL,P & P,1977
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,SURAU,Surau,1983
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,PUTERI,Asrama,1984
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,PUTERA,Asrama,1984
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,DEWAN MAKAN,Asrama,1984
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,ASRAMA LELAKI,Kediaman,1993
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,TEMBUSU,Pentadbiran dan P & P,2003
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,PEJABAT GURU,Pentadbiran,2013
PERLIS,JPN PERLIS,REE0060,SEKOLAH MENENGAH KEBANGSAAN SYED ALWI,Sekolah Kerajaan,ASRAMA PEREMPUAN,Kediaman,1993
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK GEMILANG,Pentadbiran dan P & P,1967
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK SARJANA,Pentadbiran dan P & P,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK BESTARI,Pentadbiran dan P & P,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK DINAMIK,P & P,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,MAKMAL THETA,P & P,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK WARISAN,P & P,1985
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK CEMERLANG,P & P,1967
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK PEND. ISLAM,Pentadbiran dan P & P,1985
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,KANTIN SEKOLAH,Kantin,1967
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK SUKAN,Pentadbiran,2007
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,DEWAN SEKOLAH,Dewan,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK LESTARI,P & P,1975
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,BLOK WAWASAN,Pentadbiran,1978
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,SURAU AL-HUDA,Surau,1997
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,MAKMAL KOMPUTER,P & P,2004
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,KOPERASI,Pentadbiran,1990
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,ASRAMA PUTRA,Asrama,1993
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,ASRAMA PUTRI,Asrama,1993
PERLIS,JPN PERLIS,REE0061,SEKOLAH MENENGAH KEBANGSAAN SYED SAFFI,Sekolah Kerajaan,DEWAN MAKAN ASRAMA,Asrama,1993
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,L,Makmal Sains,1980
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,P,P & P,2004
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,N,P & P,2001
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,I,P & P,1990
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,D,P & P,1974
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,K,Pendidikan Khas,1980
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,J,P & P,1974
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,M,Bengkel,1974
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,SURAU,Surau,2001
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,RUMAH GURU,Kediaman,1998
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,MAKMAL KOMPUTER (F),Makmal Komputer,2002
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,O,Pentadbiran dan P & P,1974
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,H,P & P,1988
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,BLOK A,Pentadbiran dan P & P,2010
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,BLOK C,Makmal Sains,2010
PERLIS,JPN PERLIS,REE0062,SEKOLAH MENENGAH KEBANGSAAN SYED SIRAJUDDIN,Sekolah Kerajaan,BLOK B,Pentadbiran dan P & P,2010
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,BANGUNAN LANSKAP,Bengkel,2001
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,TANJUNG,Makmal Sains,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,MELUR,P & P,1992
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,BOUGAINVILLEA,P & P,2003
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,BUNGA RAYA,Pentadbiran dan P & P,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,DEWAN MAKAN ASRAMA,Asrama,1980
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,KEMBOJA,Pentadbiran dan P & P,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,MELATI,Bengkel,2000
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,SERI PAGI 1,Pendidikan Khas,2006
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,KENANGA,Makmal Sains,2002
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,ASRAMA LELAKI,Asrama,1980
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,ASRAMA PEREMPUAN,Asrama,1980
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,MAWAR,P & P,2002
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,TERATAI,Pentadbiran dan P & P,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,ANGGERIK,P & P,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,CEMPAKA,Makmal Sains,1985
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,MAKMAL KOMPUTER,Makmal Komputer,2004
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,KANTIN,Kantin,1965
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,BILIK GURU,Pentadbiran dan P & P,2013
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,DEWAN HJ MAHMUD,Dewan,2013
PERLIS,JPN PERLIS,REE0063,SEKOLAH MENENGAH KEBANGSAAN TENGKU SULAIMAN,Sekolah Kerajaan,SERI PAGI 2,Pendidikan Khas,2014
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BLOK D,P & P,1977
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BLOK  A,Makmal Sains,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,PUTRA   B,Asrama,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,MAKMAL KOMPUTER,Makmal Komputer,2007
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BGN KEJURUTERAAN,P & P,2001
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BLOK E,P & P,1988
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,PUTRI,Asrama,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BLOK C,Pentadbiran dan P & P,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,DEWAN BESAR,Dewan,1975
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BENGKEL KH,Bengkel,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,KANTIN,Pentadbiran dan P & P,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,"BENGKEL   A,B,",P & P,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,STOR PUSAT,Pentadbiran dan P & P,1987
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,STOR SUKAN,Pentadbiran dan P & P,2001
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,BLOK B,Pentadbiran dan P & P,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,DEWAN MAKAN,Asrama,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,PUTRA   A,Asrama,1973
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,GARAGE BAS,Pentadbiran,2001
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,Surau,Surau,2014
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,PONDOK PENGAWAL,Pentadbiran,2002
PERLIS,JPN PERLIS,REE0072,SEKOLAH MENENGAH SAINS TUANKU SYED PUTRA,Sekolah Kerajaan,DEWAN BADMINTON,Dewan,2009
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,ASRAMA PUTERI,Asrama,2007
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,BLOK B,P & P,1993
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,BLOK A,P & P,1992
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,ASRAMA PUTERA,Asrama,1993
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,STOR SUKAN,Gimnasium,2012
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,BLOK C,Kantin,1996
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,BLOK D,Surau,1985
PERLIS,JPN PERLIS,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),Sekolah Bantuan Kerajaan,BLOK E,Pentadbiran dan P & P,2015
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,ASRAMA PUTERA A,Asrama,1974
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,BANGUNAN LAMA,Pentadbiran dan P & P,1935
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,BLOK C1,P & P,1995
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,TAQIYUDDIN,Pentadbiran dan P & P,2007
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,ASRAMA PUTERA B,Asrama,1997
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,ASRAMA PUTERA C,Asrama,1997
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,UMMU HANI,Asrama,2007
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,UMMU SULAIM,Asrama,2007
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,BLOK B,Pentadbiran dan P & P,1988
PERLIS,JPN PERLIS,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,Sekolah Bantuan Kerajaan,BLOK C2,P & P,1995
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,ASRAMA PUTERA 2,Asrama,2001
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,DEWAN ASPURI,Asrama,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,DEWAN MURNI,Dewan,2000
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL BATA,Bengkel,1991
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,ASRAMA PUTERI,Asrama,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL ELEKTRIK,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,ASRAMA PUTERI2,Asrama,2001
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BLOK D,P & P,1991
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,DEWAN MAKAN,Asrama,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,SURAU SEKOLAH,Surau,1994
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,KANTIN SEKOLAH,Kantin,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL ELEKTRONIK,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL KERJA KAYU,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,ASRAMA PUTERA,Asrama,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL PPU,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BLOK A,Pentadbiran,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,MAKMAL KOMPUTER,Makmal Komputer,2000
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL AUTOMOTIF,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BLOK E,P & P,2000
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL  J/PENDEK,Bengkel,1991
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL KIMPALAN,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BLOK C,P & P,1991
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BENGKEL  ABM,Bengkel,1973
PERLIS,JPN PERLIS,RHA0002,KOLEJ VOKASIONAL KANGAR,Sekolah Kerajaan,BLOK B,Pentadbiran,1973
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL AUTOMOTIF,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK D,Asrama,1988
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK E,Asrama,1999
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK F,Asrama,1999
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BLOK PENTADBIRAN,Pentadbiran dan P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,MAKMAL SAINS,Makmal Sains,1999
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL ELEKTRONIK,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL KERJA KAYU,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL KERJA BATA,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL MESIN,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL KIMPALAN,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL PENYAMANAN,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,MAKMAL KOMPUTER,Makmal Komputer,2003
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK B,Asrama,1988
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK A,Asrama,1988
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,KELAS DAN MAKMAL,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL ELEKTRIK,P & P,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,ASRAMA BLOK C,Asrama,1988
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,KELAS DAN BILIK GURU,Pentadbiran dan P & P,1999
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,DEWAN SEMESTA,Dewan,1985
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL TEKNOLOGI AU,P & P,2013
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL TEKNOLOGI PE,P & P,2013
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL TEKNOLOGI KI,P & P,2013
PERLIS,JPN PERLIS,RHA0003,KOLEJ VOKASIONAL ARAU,Sekolah Kerajaan,BENGKEL ELEKTRIK 2,P & P,2013
