,PROGRAM PERUMAHAN RAKYAT DIMILIKI,,,,,,,,,
,,,,,,,,,,
,NEGERI                   ,TAHUN                          ,PROJEK SIAP                              ,,PROJEK DALAM PEMBINAAN             ,,PROJEK DALAM PERANCANGAN              ,,JUMLAH                                                ,
,,,BILANGAN PROJEK ,BILANGAN UNIT ,BILANGAN PROJEK ,BILANGAN UNIT ,BILANGAN PROJEK ,BILANGAN UNIT ,BILANGAN PROJEK ,BILANGAN UNIT 
,PPR DIMILIKI                                                                              ,2012,23,3109,7,3663,46,21412,76,28184
,,2013,24,4109,9,4263,45,18453,78,26825
,,2014,25,4273,11,5911,44,16475,80,26659
,,2015,31,7773,21,10742,29,8631,81,27146
,,2016,33,8873,30,13036,18,5182,81,27091
,,2017,39,12051,39,14596,22,9066,100,35713
