"","12.  Selangor Smart City Conference 
and Exhibition","",""
"","13.  Smart Selangor Accelerator  
Program","",""
"14.  Smart Selangor Centre of","Excellence","",""
"","15.  Sukarelawan Smart Selangor","",""
"","16.  Smart Selangor Cashless Society","",""
