"Jumlah (RM)","Loji Rawatan Air 
Semenyih 2","Loji Rawatan Air 
Labohan Dagang"
"Anggaran kos 
pembangunan projek","185,030,000.00","511,984,333.60"
"Jumlah yang 
dibelanjakan setakat 
28 Februari 2019","179,074,102.39","342,632,686.81"
