"Bil.","Projek","Daerah","Bil Unit"
"1.","Pangsapuri De Kiara, Setia Alam","Petaling","30"
"2.","Pangsapuri Seroja, Setia Alam","Petaling","11"
"3.","Apartment Trifolis, Bukit Tinggi","Klang","30"
"4","Pangsapuri Taming Mutiara, Cheras","Hulu Langat","30"
"Jumlah","","","101"
