"W.  P.  Kuala 
Lumpur","8","507","104,699,435","25,632,293","130,331,728"
"Kelantan","5","367","73,098,166","24,569,685","97,667,851"
"W. 
P. 
Labuan","1","35","81,003,600","0","81,003,600"
"Perlis","1","21","8,000,000","0","8,000,000"
"","","","","",""
"Jumlah","468","41,033","10,306,046,712","48,764,374,088","59,070,420,800"
