Jadual Harga Rumah Teres Mengikut Negeri,,,,,,,,,,,,,,,,
Terraced House Price by State,,,,,,,,,,,,,,,,
INDEX Base 2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tahun,Quarter,Malaysia,Kuala Lumpur,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2013,Q1,244299.75,528029.53,322335.40999999997,175353.68,352543.79,138253.76000000001,133295.85,114974.31875210792,126441.04,160452.65,144619.51999999999,173430.32,103425.1,341599.57,245410.8
2013,Q2,252728.95999999999,538006.55000000005,336966.16,183854.21,366157.62,143103.32999999999,134409.79999999999,110502.06,123374.39999999999,169288.78,149956.39000000001,165030.93,109074.07,345385.25,249869.98
2013,Q3,262925.06,583485.87,351386.45,190700.59,377196.42,147959.53,138291.84,112179.15703204049,123793.74,173423.93,156654.9,163085.56,108683.23,358191.55,256820.66
2013,Q4,267687.48,598147,358275.75,188137.41002688173,381414.78,149438.68,136289.96,112924.53349072514,125850.87,179408.19,153004.57,169753.44,117392.49,375620.34,250749.6
2014,Q1,269682.99,596194.85,362364.5,199688.7062797446,390847.58,148111.01999999999,143723.45000000001,108183.91,127466.24000000001,181737.23,159040.09,170139.61,122845.16,369884.29,257308.67
2014,Q2,282752.15000000002,619602.92000000004,367317.67,216222.62355194424,406826.28,155384.70000000001,148709.67000000001,113572.47,127202.19,186070.01,161813.64000000001,173743.5,117849.93,410404.31,262840.53999999998
2014,Q3,290618.92,638969.30000000005,379175.88,224169.1574347069,418811.58,161188.5,151451.62,119324.55993812837,127550.03,189186.51,164737.68,170221.62,122941.77,401248.99,268683.98
2014,Q4,293488.21999999997,646033.36,380156.04,217247.98276262332,422489.05,165246.63,149003.87,120536.45,133740.67000000001,197341.32,163445.79999999999,162457.79999999999,125100.41,406653.47,269020.59999999998
2015,Q1,293572.26,663965,387749.88,216350.79345327913,420348.64,161447.85999999999,155577.20000000001,119436.3,134872.25,196958.92,162620.28,162955.44,131472.95000000001,410766,272689.28000000003
2015,Q2,300062.09000000003,674663.9,399739.49,220836.74,426946.51,168638.99,160060.32,121288.25,136828.22,201059.68,166259.1,168903.49,126337.07,421776.45,280198.71999999997
2015,Q3,309722.23103448283,689546.85,411628.41,230447.94060109291,445143.17,175782.01,163891.67000000001,125975.07,136135.48000000001,202768.53,168095.35999999999,167106.4,127239.02,414093.65,288179.59000000003
2015,Q4,311947.78000000003,696344.13548740419,414161.49,234549.35,449159.21,180787.4,160801.22,128693.6,140372.73000000001,204778.05,170836.97,159953.79,128538.67,391528.18,280774.43
2016,Q1,316103.58,712819.48,420742.32,241394.01140973635,438216.64,182261.51,161867.41,131488.81,142901.35,206491,171129.81,163962.99,130583.58,408198.16,284858.88
2016,Q2,324354.21999999997,726875.86,436482.23,243957.94143002032,441596.91,184867.20000000001,166237.63,136864.24,146116.07999999999,208407.75,173377.94,162447.76999999999,128161.82,414414.27,293329.93
2016,Q3,331363.08897777775,743703.09,449342.46,249726.78397565926,455494.13,193338.93,173586.41,135075.56,146644.23000000001,212356.57,176385.39,165348.10999999999,129340.78,418704.2,296860.23
2016,Q4F,333960.56,758805.81,454103.82,252803.5,447491.15,194307.89,173137.39,140806.17000000001,148155.45000000001,212743.28,175768.37,161594.22,124573.5,420588.36,293218.23
2017,Q1 ,343749.14,777807.76,469823.04,264600.82,462725.29,197916.15,174064.17,141559.49,149699.85999999999,212625.76,178717.35,165352.10999999999,135330.57999999999,421497.81,298538.27
2017,Q2,352498.4,805995.06,483218.54,267610.18,473500.62,203127.75,177757.56,142525.41,153308.12,220616.93,180467.3,167089.25,135404.4,429276.24,307500.94
2017,Q3,360262.27,829287.4,491604.83,279497.90999999997,481028.78,207862.69,180197.24,145161.88,155128.21,222946.8,182713.78,167645.88,135298.59,437679.29,312726.46999999997
2017,Q4,366080.55,834240.58,504058.94,282989.03000000003,475795.88,215494.09,181607.88,151737.87,156100.94,219148.67,186202.28,169560.85,135648.24,434994.51,324086.52
2018,Q1,371331.3,864464.58,508845.11,289084.13,472210.67,220169.83,184854.3,153851.67000000001,159779.14000000001,217827.11,187683.29,173646.36,138760.01999999999,436132.29,331551.43
2018,Q2,371805.18,846713.19,511163.59,290988.94,467968.97,221854.1,187274.27,154353.13,162508.39000000001,215242.29,190022.64,169135.69,143252.21,439103.62,331781.68
,,,,,,,,,,,,,,,,
