Jadual Harga Rumah Teres Mengikut Negeri,,,,,,,,,,,,,,,,
Terraced House Price by State,,,,,,,,,,,,,,,,
INDEX Base 2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tahun,Quarter,Malaysia,Kuala Lumpur,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,Q1,172035.72,349857.12,212860.03,140992.07999999999,244081.78,104923.84,101045.96,86222.18,94774.28,122338.19,98141.27,98464.05,76963.03,219752.08,195589.67583244963
2009,Q2,175807.6,349087.38,219963.21,143912.38,255146.1,108395.58,98374.720000000001,86500.22,96829.41,126451.12,98730.96,108735.8,81461.11,223999.14,195785.46129374337
2009,Q3,179408.63,364145.69,226058.92,146453.13,263807.03999999998,106507.81,98996.38,91309.16,97004.57,124452.98,104920.96000000001,112985.76,86901.11,229332.98,184625.69
2009,Q4,178401.75,369806.67,230847.42,125652.21,261950.89,106248.77,102311.32,88931.06,98074.57,122337.85,107030.48,117508.05,90713.41,237169.41,197268.33
2010,Q1,178880.33,354520.57,233516.33,127927.6,261707.98,108151.55,101128.18,87101.97,100182.5,124739.94,105609.34,115352.3,86340,250037.97,190388.34
2010,Q2,189412.23,393729.91,245457.37,144630.24,271364,108821.06,103155.82,91774.21,103963.23,129888.82,113864.77,112098.23,87425.27,252735.28,193343.8
2010,Q3,191055.26,385975.71148648654,252272.14,138310.51,273868.17,110339.82,105240.24,94905.51,103543.3,129115.45,111457.93,126503.942062635,95129.080920792083,253849.24,203589.11
2010,Q4,193481.48,391263.05,261917,133292.45000000001,278959.28000000003,116783.32,107243.39,94263.597880597008,105076.89,129746.28,118934.61,124809.15240820734,87425.27,259720.14,213663.18201642341
2011,Q1,199318.41,404590.28662499995,268302.46000000002,136056.85,278963.34999999998,124792.23,111922.65,93704.17,103902.21,136050.34404850745,114799.93,135098.94673866092,94869.401900990095,259362.57,209942.19167883217
2011,Q2,205378.06,453322.45,281135.63587565674,134526.5,298783.86,120836.19,113961.26,96257.1,114156.72066914498,132466.82,127672.44,129069.3,98433.031619797519,271757.59000000003,202696.05260036499
2011,Q3,210481.94,463704.96703825024,279910.11,141396.06,304090.11685352621,123546.85,115756.29,97914.55,110959.92,148440.04,127184.73,135675.38,102703.47,295710.49,214642.39
2011,Q4,215630.66,475382.88,291944.2,139870.51999999999,300826.18,128039.09,119691.11,96780.2,112388.25,151130.91552525252,137709.82999999999,146520.22,104629.53,290649.7,212656.37
2012,Q1,223424.95,475391.25,305071.09000000003,138885.23356234096,321953.38,137421.04,124620.3,97306.039226519337,111842.39,150396.54,134977.42000000001,135072.26999999999,89217.11,309195.11,214140.29
2012,Q2,231139.34,479165.23,325322.03000000003,151196.39000000001,314851.59000000003,131032.49,123873.73,101220.65,113126.5,159429.54,136174.85999999999,137292.74,108777.55,296993.75,222299.72
2012,Q3,239812.26,501302.37,336401.51,158377.89792196779,341570.22,132886.34,128314.98,102322.53,117671.99,157231.47,136784.28,145038.17000000001,101644.48,335102.34999999998,230577.63
2012,Q4,245358.88,546030.51,322229.34000000003,168765.43616624258,340848.52,140512.07,131981.06,108895.05,116156.54,163606.22,137044.59,160292.60190317201,104257.53,329902.21999999997,244452.57
