GIS - Pengurusan Gunatanah Semasa bagi Institusi dan Kemudahan Masyarakat Pada Tahun 2010,,,,,,
,,,,,,
Bil.,No. Lot,Kampung,Gunatanah,Aktiviti,Kategori,Luas(hek)
51,6249,Kampung Kerupang / Nagalang,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.755
52,6119,Kampung Kerupang / Nagalang,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,1.7999999999999999E-2
53,8048,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keagamaan,Kuil,0.30399999999999999
54,1573,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,8.5730000000000004
55,309,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Rumah Rehat,0.59899999999999998
56,8193,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Kristian,0.80300000000000005
57,2423,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,0.628
58,2703,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.13
59,2703,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,0.74199999999999999
60,2855,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,2.9510000000000001
61,1716,Kampung Lajau,Institusi Dan Kemudahan Masyarakat,Keagamaan,Gereja,4.4999999999999998E-2
62,3298,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,6.6000000000000003E-2
63,6003,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.65100000000000002
64,2621,Kampung Kerupang / Nagalang,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.11899999999999999
65,8173,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,3.3559999999999999
66,8105,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.41399999999999998
67,4619,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,1.0269999999999999
68,8151,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Keselamatan,Balai Polis,0.17399999999999999
69,8152,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.20200000000000001
70,868,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,2.5659999999999998
71,3149,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.183
72,757,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,0.10100000000000001
73,8108,Kampung Patau-Patau No. 1,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.28100000000000003
74,9136,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.11
75,149,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,3.3639999999999999
76,189,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,4.6639999999999997
77,187,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,1.669
78,8131,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,1.016
79,206,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,1.3720000000000001
80,8132,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,0.16800000000000001
81,8134,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,0.20599999999999999
82,5166,Kampung Patau-Patau No. 1,Institusi Dan Kemudahan Masyarakat,Keselamatan,Lain-Lain,2.617
83,1309,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,3.9060000000000001
84,8141,Kampung Patau-Patau No. 1,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.2130000000000001
85,9335,Kampung Batu Arang,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,3.9550000000000001
86,269,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,2.4119999999999999
87,1830,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,7.835
88,1829,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.16900000000000001
89,1909,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,0.32600000000000001
90,1673,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Rumah Kebajikan,Rumah Persatuan,0.20300000000000001
91,1609,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,7.4999999999999997E-2
92,1665,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.122
93,1472,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.6120000000000001
94,5010,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan,Pejabat Kerajaan,1.2170000000000001
95,6810,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Pendidikan,Institut Latihan,0.69599999999999995
96,6817,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Agensi Kerajaan,1.2210000000000001
97,7116,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,0.81
98,7364,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,0.40799999999999997
99,8000,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.66400000000000003
100,8361,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.65400000000000003
101,7140,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,0.40500000000000003
102,5962,Kampung Patau-Patau No. 1,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.13200000000000001
103,9419,Kampung Lajau,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,2.2370000000000001
104,5219,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.52300000000000002
105,1159,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,8.5999999999999993E-2
106,3481,Kampung Durian Tunjong,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya/Perpustakaan,0.11700000000000001
107,816,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.30199999999999999
108,1670,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Rumah Kebajikan,Rumah Orang Kurang Upaya,9.8000000000000004E-2
109,429,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Lain-Lain,3.6999999999999998E-2
110,454,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.012
111,2561,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.11
112,6646,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,1.3560000000000001
113,8326,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.43099999999999999
114,4366,Kampung Sungai Miri/Sungai Pagar,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.94299999999999995
115,875,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.47099999999999997
116,1482,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.10199999999999999
117,4343,Kiamsam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,20.236999999999998
118,6241,Kampung Sungai Buton,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.20200000000000001
119,9405,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.26800000000000002
120,1477,Kampung Belukut,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.20200000000000001
121,9228,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,6.0999999999999999E-2
122,4428,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,7.4999999999999997E-2
123,8599,Kampung Belukut,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.378
124,1828,Kampung Belukut,Institusi Dan Kemudahan Masyarakat,Keselamatan,Balai Polis,0.25800000000000001
125,9171,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.245
126,1473,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.20200000000000001
127,1028,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,0.64600000000000002
128,3095,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,1.546
129,1192,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.21199999999999999
130,5087,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Pendidikan,Lain-Lain,0.3
131,1645,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,2.44
132,9185,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.5269999999999999
133,9172,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Lain-Lain,0.47899999999999998
134,7756,Kiamsam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Institut Pendidikan Tinggi,24.228999999999999
135,5027,Kampung Sungai Bangat,Institusi Dan Kemudahan Masyarakat,Kesihatan,Hospital,10.496
136,9156,Kampung Sungai Bangat,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,3.7999999999999999E-2
137,9430,Kampung Pohon Batu,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,6.0999999999999999E-2
138,5088,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Dewan Serbaguna Awam,0.6
139,5847,Kampung Ganggarak/Merinding,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.123
140,2436,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Muzium,2.379
141,1376,Kampung Batu Manikar,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,7.9000000000000001E-2
142,5211,Kampung Batu Manikar,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.26300000000000001
143,1457,Kampung Batu Manikar,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,6.6000000000000003E-2
144,7018,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pertubuhan Peladang,0.81
145,8310,Kampung Bebuloh,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.887
146,5063,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,18.562999999999999
147,6506,Kampung Batu Manikar,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.125
148,9391,Kampung Ganggarak/Merinding,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.186
149,5085,Kampung Bebuloh,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,1.77
150,8205,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.68700000000000006
151,1597,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,2.4950000000000001
152,8270,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.17100000000000001
153,8271,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.13400000000000001
154,8657,Kampung Batu Arang,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.41499999999999998
155,7013,Kiamsam,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan/Agensi Kerajaan,2.0249999999999999
156,1478,Kampung Sungai Buton,Institusi Dan Kemudahan Masyarakat,Rumah Kebajikan,Rumah Persatuan,0.16400000000000001
157,10590,Kiamsam,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.51800000000000002
158,3094,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,0.49199999999999999
159,3202,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan/Agensi Kerajaan,0.52900000000000003
160,1583,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Ibu Pejabat Polis,1.8009999999999999
161,6209,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Balai Bomba Dan Penyelamat,1.2170000000000001
162,9334,Kampung Batu Arang,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan/Agensi Kerajaan,1.034
163,8295,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,6.6000000000000003E-2
164,8295,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.13300000000000001
165,22941,Kampung Belukut,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.51700000000000002
166,5090,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,2.984
167,9374,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,5.8000000000000003E-2
