GIS - Pengurusan Gunatanah Semasa bagi Institusi dan Kemudahan Masyarakat Pada Tahun 2010,,,,,,
,,,,,,
Bil.,No. Lot,Kampung,Gunatanah,Aktiviti,Kategori,Luas(hek)
214,174,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.13700000000000001
215,1153,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Perkuburan,Jirat Cina,0.08
216,508,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,3.7490000000000001
217,9210,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,3.532
218,1594,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.25
219,9286,Kampung Pantai,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Dewan Orang Ramai,0.53800000000000003
220,1379,Kampung Tanjung Aru,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,9.9000000000000005E-2
221,2904,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,12.647
222,6627,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,5.8999999999999997E-2
223,8573,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,1.9570000000000001
224,1469,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah,3.2290000000000001
225,985,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,0.59799999999999998
226,5347,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Lain-Lain,2.4830000000000001
227,2121,Kampung Ganggarak/Merinding,Institusi Dan Kemudahan Masyarakat,Pendidikan,Lain-Lain,1.2829999999999999
228,8284,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,3.6269999999999998
229,6016,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.50900000000000001
230,7526,Kampung Bukit Kuda,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,9.7000000000000003E-2
231,7376,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,8.5999999999999993E-2
232,7377,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.108
233,8510,Kampung Layang-Layangan,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.191
234,9109,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,3.3000000000000002E-2
235,3291,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,2.2559999999999998
236,3291,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,2
237,3291,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.04
238,203,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keagamaan,Gereja,1.2829999999999999
239,7367,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,1.835
