Statistik Jenayah Mengikut Kertas Siasatan Tahun 2016,,,,,,,,,,,,
,,,,,,,,,,,,
,BENTONG ,BERA ,C/HIGHLANDS ,JERANTUT ,KUALA LIPIS ,KUANTAN ,MARAN ,PEKAN ,RAUB ,ROMPIN ,TEMERLOH ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,
BUNUH,2,0,1,2,1,5,1,1,2,0,0,15
ROGOL,3,9,2,9,8,43,8,8,7,19,18,134
SAMUN BERKAWAN BERS/API,0,0,0,0,0,0,0,0,0,0,0,0
SAMUN BERKAWAN TANPA BERS/API,21,8,6,12,2,113,23,2,1,7,39,234
SAMUN BERSENJATAPI,0,0,0,0,1,0,0,0,0,0,0,1
SAMUN TANPA S/API,8,8,0,3,0,25,2,3,1,3,5,58
MENCEDERAKAN,33,6,10,21,9,69,11,5,12,15,18,209
JUMLAH,67,31,19,47,21,255,45,19,23,44,80,651
JENAYAH HARTABENDA :,,,,,,,,,,,,
CURI,125,35,3,50,34,196,37,26,19,58,39,622
CURI MOTOKAR,25,5,16,14,8,126,9,5,9,9,28,254
CURI MOTOSIKAL,67,48,23,60,39,732,123,76,29,109,93,1399
CURI VAN/LORI/J'BERAT,4,11,3,0,8,55,1,1,8,2,10,103
CURI RAGUT,9,5,0,3,1,3,2,2,0,3,1,29
PRC,104,49,14,49,26,226,47,41,29,71,63,719
JUMLAH,334,153,59,176,116,1338,219,151,94,252,234,3126
JUMLAH JENAYAH INDEKS,401,184,78,223,137,1593,264,170,117,296,314,3777
